,USA_Year,Import(dollars),Bulk1(import_dollars),Export(dollars),Bulk1(export_dollars)
1,1990,23816495881,1026222625,45347577812,21211260303
2,1991,23818999687,1111252746,43458610595,17147459034
3,1992,25843622061,1840130757,47156292395,18987461701
4,1993,25919551202,1608199844,47934159931,18542250197
5,1994,27907248012,1979310156,49495115205,17370452054
6,1995,30479531390,1449525891,60958249932,23805060113
7,1996,33420700689,1964181075,65873415365,28200378140
8,1997,37191551707,2494100767,63068094342,23684272305
9,1998,38832490737,1936348286,59400921997,20309111626
10,1999,39740959959,1871186211,53754556403,18014555177
11,2000,41646121507,1541825327,55294263958,17974287801
12,2001,42214418581,1569891729,56700984968,17864565211
13,2002,44457311966,1675377411,55964320061,18492046591
14,2003,49114402248,1532207944,58662311485,20685612196
15,2004,56126740980,1701946779,64896334431,26318254051
16,2005,61566894853,1572299693,64858836972,22991164143
17,2006,68868184047,1926262016,71231140014,24905331639
18,2007,75171021632,2573129601,85227071674,32069307244
19,2008,84227055737,4090297940,117951433143,51244777524
20,2009,78241354309,3409092219,98644404690,37263843125
21,2010,82934257772,2887071485,111238753927,41418545080
22,2011,97464705068,3129385158,142089603594,58652510923
23,2012,108342073702,4024742169,141199753451,50023397086
24,2013,111001676791,5542562981,145082220916,46968823328
25,2014,115888195470,5578685448,156849012504,53214774678
26,2015,121611466710,4236258030,144067923765,46582031296
27,2016,121083455740,3615553749,133718758167,43233471405
28,2017,127150993448,3416463895,144780787996,49916952272
29,2018,136477563269,3783106395,148619972245,48855709518
30,2019,141436704887,3402202050,140093712398,41867798498
31,2020,143402657062,3537191863,139724153422,42081680788
32,2021,163321690214,3316145382,171832633354,62693968147
33,2022,194137500777,4540133775,196054947115,75008228127
34,2023,195333657355,4889598946,178183697520,62822639535
35,2024,206207275626,4426027381,174428419723,54351384783
