"Value of U.S. agricultural trade, by fiscal year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Exports,Imports,Trade balance,Total trade
,Million U.S. dollars,Million U.S. dollars,Million U.S. dollars,Million U.S. dollars
1935,669,934,-265,1603
1936,766,1141,-375,1907
1937,732,1537,-805,2269
1938,891,1155,-264,2046
1939,683,999,-316,1682
1940,738,1239,-501,1977
1941,350,1474,-1124,1824
1942,1032,1503,-471,2535
1943,1497,1342,155,2839
1944,2305,1774,531,4079
1945,2191,1729,462,3920
1946,2857,1878,979,4735
1947,3610,2704,906,6314
1948,3505,2862,643,6367
1949,3830,3001,829,6831
1950,2986,3177,-191,6163
1951,3411,5147,-1736,8558
1952,4053,4699,-646,8752
1953,2819,4303,-1484,7122
1954,2936,4176,-1240,7112
1955,3144,3781,-637,6925
1956,3496,4086.0000000000005,-590.0000000000005,7582
1957,4728,3800,928,8528
1958,4003,3929,74,7932
1959,3719,4003.9999999999995,-284.99999999999955,7723
1960,4519,4010,509,8529
1961,4946,3645,1301,8591
1962,5142,3762,1380,8904
1963,5078,3907,1171,8985
1964,6068,4096,1972,10164
1965,6097,3986,2111,10083
1966,6747,4454,2293,11201
1967,6821,4453,2368,11274
1968,6331,4933,1398,11264
1969,5873,4604,1269,10477
1970,7115,5433,1682,12548
1971,8159,5914,2245,14073
1972,8434,5755,2679,14189
1973,15281,7462,7819,22743
1974,21952,9540,12412,31492
1975,22220,9132,13088,31352
1976,23259,10046,13213,33305
1977,24633,12784,11849,37417
1978,28128,13268,14860,41396
1979,33081,15356,17725,48437
1980,41738,16526,25212,58264
1981,45171,16649,28522,61820
1982,40493,14991,25502,55484
1983,36088,15876,20212,51964
1984,39272,18163,21109,57435
1985,32509,19194,13315,51703
1986,27824,20546,7278,48370
1987,29983,20319,9664,50302
1988,38201,20409,17792,58610
1989,43251,21816,21435,65067
1990,45348,23816,21532,69164
1991,43459,23819,19640,67278
1992,47156,25844,21312,73000
1993,47934,25920,22014,73854
1994,49495,27907,21588,77402
1995,60958,30480,30478,91438
1996,65873,33421,32452,99294
1997,63068,37192,25876,100260
1998,59401,38832,20569,98233
1999,53755,39741,14014,93496
2000,55294,41646,13648,96940
2001,56701,42214,14487,98915
2002,55964,44457,11507,100421
2003,58662,49114,9548,107776
2004,64896,56127,8769,121023
2005,64859,61567,3292,126426
2006,71231,68868,2363,140099
2007,85227,75171,10056,160398
2008,117951,84227,33724,202178
2009,98644,78241,20403,176885
2010,111239,82934,28305,194173
2011,142090,97465,44625,239555
2012,141200,108342,32858,249542
2013,145082,111002,34080,256084
2014,156849,115888,40961,272737
2015,144068,121611,22457,265679
2016,133719,121083,12636,254802
2017,144781,127151,17630,271932
2018,148620,136478,12142,285098
2019,140094,141437,-1343,281531
2020,139724,143403,-3679,283127
2021,171833,163322,8511,335155
2022,196055,194138,1917,390193
2023,178184,195334,-17150,373518
2024,174428,206207,-31779,380635
Data for 1935—67: July—June fiscal year.,,,,
Data for 1968—present: October—September fiscal year.                 ,,,,
"Source: USDA, Economic Research Service, based on data from U.S. Department of Commerce, Bureau of the Census.",,,,
Updated 12/20/2024.,,,,
